timestamp,palette_size,colors,generation_time,failures,delta_e_thresholds
2025-04-28 10:51:48,2,#60698a|#5ab293,0.00030493736267089844,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#bde58d|#957b18,0.0003352165222167969,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#0e3274|#e9d9e8,9.703636169433594e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#5fc1df|#425a25,7.867813110351562e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#ee0e35|#91b7c8,7.891654968261719e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#110b5f|#90f1ba,8.130073547363281e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#041f6c|#a96c0e,7.915496826171875e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#14789a|#0e3661,7.796287536621094e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#96c70f|#d41a3c,0.00015091896057128906,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#a921ce|#917047,0.0002281665802001953,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#001141|#a0e996,7.987022399902344e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#c2f41d|#008184,7.772445678710938e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#3c069a|#b5d2bc,0.00015401840209960938,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#232f37|#28804a,8.0108642578125e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#699119|#41f652,0.00014972686767578125,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#b120a3|#9e9438,7.796287536621094e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#9771c6|#15ef5d,7.796287536621094e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#00467d|#9ed8ef,7.82012939453125e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#db4d7c|#cef3d0,0.00015807151794433594,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#fe147b|#5cabd3,0.00014901161193847656,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#b98d69|#8a174a,0.00022864341735839844,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#5d3ca8|#ddb59c,7.82012939453125e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#653b5b|#14ce6b,0.00022602081298828125,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#6317e3|#0eb01a,0.0003719329833984375,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#9fc00a|#c15b82,0.0003147125244140625,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#2519b9|#f6e437,9.083747863769531e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#79d2da|#8b09d3,0.00013399124145507812,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#f7d34a|#250125,8.702278137207031e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-28 10:51:48,2,#b02924|#f47f13,8.487701416015625e-05,0,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
