2025-04-27 23:13:49,5,#a2a293|#971f7a|#8bf2f6|#eb5532|#1d050e,2.120292901992798,30496,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:13:49,5,#73c1aa|#e21dd4|#441e05|#638678|#dafdc6,0.354539155960083,5385,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:13:50,5,#030f51|#88c0eb|#ab7a74|#0267d1|#fefadc,0.8715271949768066,11892,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:13:53,5,#0c41b4|#70cb8f|#88833d|#120338|#f8f6e5,3.2664906978607178,46732,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:13:55,5,#648e46|#d5b39a|#aa0eeb|#20000a|#ecfef0,1.9208590984344482,27347,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:13:56,5,#94b2de|#32092c|#933819|#7968ce|#f3fb97,0.7624521255493164,10407,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:13:58,5,#ed2403|#f89398|#1704c1|#8a6eae|#e5eaea,1.7288610935211182,25067,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:06,5,#a72133|#3ace6f|#587b8d|#f1e2d1|#09012f,8.29011607170105,125308,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:08,5,#912950|#d2ba2e|#6584e1|#1a0004|#fafabc,1.4906110763549805,22832,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:08,5,#1ae870|#a767ca|#1f12df|#1d6270|#efffeb,0.32087016105651855,5180,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:10,5,#142826|#15ed5d|#41939f|#6045f5|#d6feff,2.0547709465026855,30661,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:10,5,#63be9a|#6f41a5|#f9f2a7|#3c1546|#ae7335,0.00960993766784668,152,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:10,5,#ddb576|#6d77e3|#77042d|#425387|#fefef3,0.06332683563232422,949,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:13,5,#1fdfc0|#fd2301|#9968db|#0c01d7|#f2fdaf,2.798200845718384,41260,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:13,5,#fcd5a6|#06bee9|#75345e|#190b2f|#a257c3,0.0049932003021240234,63,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:13,5,#33299a|#e95feb|#8ac5ad|#2c6f6b|#f7faf7,0.14007329940795898,2029,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
